@relation herramientas
@attribute 'areaContorno' numeric
@attribute 'perimetroContorno' numeric
@attribute 'anchoRectangulo' numeric
@attribute 'largoRectangulo' numeric
@attribute 'radioCirculo' numeric
@attribute 'areaTriangulo' numeric
@attribute 'lenHull' numeric
@attribute 'lenDefects' numeric
@attribute 'areaRotated' numeric
@attribute 'class' { Martillo, Cutter, PinzasPunta, Nivelador, Desarmador, Espatula, Tijeras, PinzasMecanico }
@data
519537.5,8236.4152,416,2176,1089,755147.5,61,56,898366.8142,Desarmador
948681.0,4399.2606,1275,1376,698,1666537.25,77,71,1024856.9046,Espatula
365969.5,9451.1726,1793,645,903,994036.5,71,66,984328.6561,PinzasMecanico
456569.0,7254.9014,2223,378,1111,657938.5,63,58,818958.609,Desarmador
1196992.0,6912.6704,2011,2334,1341,2297524.5,33,28,1285674.8207,Nivelador
1105822.5,8171.0771,1344,2052,1025,2069854.75,81,75,2442509.9273,Martillo
1250105.5,6649.2921,2609,1303,1331,2284605.0,57,49,1297614.9015,Nivelador
647391.0,11490.2764,610,1811,909,1154452.375,69,67,1102219.6515,PinzasMecanico
1190595.5,6667.7146,1583,2556,1337,2296627.5,48,42,1241165.4463,Nivelador
480267.0,5195.3783,735,1547,787,767078.375,62,58,1123751.9704,Tijeras
533596.0,8721.9005,1912,674,960,899161.0,62,57,1271669.9437,PinzasPunta
1280633.5,7270.9347,1107,2663,1337,2405241.5,59,53,1319980.9655,Nivelador
580776.5,9131.9118,1067,1825,967,940208.5,47,43,1335454.8948,PinzasPunta
555473.5,8967.7941,959,1847,961,912661.5,47,41,1299808.7131,PinzasPunta
324818.5,4433.2046,826,1480,799,471184.5312,51,46,427085.646,Cutter
935768.5,4266.4494,1243,1371,698,1686319.5,86,80,992458.0969,Espatula
1207711.5,6588.3644,1528,2526,1318,2265217.0,49,42,1240987.6064,Nivelador
452661.5,3385.6126,724,1060,540,630338.5,72,67,726282.0991,Tijeras
489020.0,5547.9225,742,1559,796,776183.75,61,56,1139358.4756,Tijeras
540001.0,4932.5499,1497,893,794,768825.5625,75,68,1112106.117,Tijeras
295307.5,3971.7101,1492,760,791,418292.25,44,37,405209.8379,Cutter
531141.0,8445.8273,545,1780,891,988830.75,88,86,967307.8697,PinzasMecanico
358492.5,5264.9124,1100,1366,827,503792.0,50,47,498931.5607,Cutter
523263.0,6671.094,412,2196,1098,727515.0,56,53,897429.3806,Desarmador
579495.5,5117.2879,1605,764,821,833150.75,58,55,1217479.6769,Tijeras
334603.0,4373.0167,1643,270,823,490100.75,47,44,440135.955,Cutter
539209.0,4675.3153,1474,890,779,769035.25,69,64,1114862.6127,Tijeras
972340.5,4176.7967,1294,1429,716,1725618.5,91,84,1047228.0596,Espatula
564139.0,8344.8164,1218,1752,970,928885.0,64,57,1301863.449,PinzasPunta
616843.0,8920.7777,705,1946,982,974133.0,46,40,1367431.8458,PinzasPunta
524278.0,10136.5648,1393,1385,898,1049959.5,88,81,987382.3952,PinzasMecanico
520353.0,6040.3652,930,1488,796,755471.0,75,71,1107999.5513,Tijeras
532186.5,4860.7782,721,1585,795,758930.75,54,49,1117742.6969,Tijeras
543263.5,13393.2666,1736,1054,921,1119281.5,60,58,1164974.2207,PinzasMecanico
555131.0,4915.4372,1314,1302,828,794996.0,63,59,1182585.1395,Tijeras
989137.0,4085.0874,832,1272,719,1812364.0,91,85,1025491.833,Espatula
1088037.5,8694.4131,1369,1974,1041,2140054.25,100,96,2529615.632,Martillo
515142.5,8678.8681,1145,1980,1098,757005.25,63,58,877623.1431,Desarmador
527440.0,6203.3884,2222,417,1110,731665.6875,64,60,892686.0788,Desarmador
1082893.5,8329.6822,2068,1383,1033,2114231.5,104,98,2486756.3212,Martillo
472740.0,10757.9517,1048,1645,898,1053373.0,77,72,999964.574,PinzasMecanico
335909.5,4609.3081,1634,275,817,482283.5,46,42,446463.639,Cutter
407238.0,11397.1375,1674,938,900,1006281.0,76,71,991229.5152,PinzasMecanico
